age,job,marital,education,balance,housing,loan,deposit
30,unemployed,married,primary,1787,no,no,no
33,services,married,secondary,4789,yes,yes,no
35,management,single,tertiary,1350,yes,no,no
30,management,married,tertiary,1476,yes,yes,no
59,blue-collar,married,secondary,0,yes,no,no
35,management,single,tertiary,747,no,no,no
36,self-employed,married,tertiary,307,yes,no,no
39,technician,married,secondary,147,yes,no,no
41,entrepreneur,married,tertiary,221,yes,no,no
43,services,married,primary,-88,yes,yes,no
39,services,married,secondary,9374,yes,no,no
43,admin.,married,secondary,264,yes,no,no
36,technician,married,tertiary,1109,no,no,no
20,student,single,secondary,502,no,no,yes
31,blue-collar,married,secondary,360,yes,yes,no
40,management,married,tertiary,194,no,yes,no
56,technician,married,secondary,4073,no,no,no
37,admin.,single,tertiary,2317,yes,no,no
25,blue-collar,single,primary,-221,yes,no,no
31,services,married,secondary,132,no,no,no
38,management,divorced,unknown,0,yes,no,no
42,management,divorced,tertiary,16,no,no,no
44,services,single,secondary,106,no,no,no
44,entrepreneur,married,secondary,93,no,no,no
26,housemaid,married,tertiary,543,no,no,no
41,management,married,tertiary,5883,no,no,no
55,blue-collar,married,primary,627,yes,no,no
67,retired,married,unknown,696,no,no,no
56,self-employed,married,secondary,784,no,yes,no
53,admin.,married,secondary,105,no,yes,no
68,retired,divorced,secondary,4189,no,no,yes
31,technician,married,secondary,171,no,no,no
59,management,married,secondary,42,no,no,no
32,management,single,tertiary,2536,yes,no,yes
49,technician,married,tertiary,1235,no,no,yes
42,admin.,divorced,secondary,1811,yes,no,no
78,retired,divorced,primary,229,no,no,yes
32,blue-collar,married,secondary,2089,yes,no,yes
33,management,married,secondary,3935,yes,no,yes
23,services,single,tertiary,363,yes,no,no
38,management,single,tertiary,11971,yes,no,no
36,management,single,tertiary,553,no,no,no
52,blue-collar,married,secondary,1117,yes,no,no
32,technician,married,tertiary,396,yes,no,no
32,technician,single,tertiary,2204,yes,no,no
34,management,single,tertiary,872,yes,no,no
55,blue-collar,married,primary,145,no,no,no
26,blue-collar,married,primary,0,yes,no,no
32,entrepreneur,single,primary,-849,yes,yes,no
61,admin.,married,unknown,4629,yes,no,yes
45,blue-collar,divorced,primary,844,no,no,yes
37,technician,single,secondary,228,yes,no,no
38,technician,single,secondary,50,no,no,no
34,technician,married,tertiary,1539,yes,no,yes
53,blue-collar,married,secondary,2231,yes,no,no
48,admin.,married,secondary,3064,yes,no,no
57,management,married,secondary,82,no,yes,no
33,self-employed,single,tertiary,2155,no,no,no
36,retired,single,secondary,101,yes,yes,no
54,technician,divorced,secondary,784,yes,yes,no
41,blue-collar,married,primary,-516,no,yes,no
63,retired,married,secondary,415,yes,no,no
48,management,married,tertiary,5887,no,no,no
48,services,married,secondary,1355,no,no,no
56,admin.,married,secondary,16873,no,no,no
51,blue-collar,divorced,secondary,203,yes,no,no
31,services,married,secondary,338,yes,no,no
29,technician,married,secondary,444,yes,no,no
41,management,married,secondary,0,no,yes,no
32,technician,single,tertiary,360,no,no,no
37,management,married,tertiary,0,no,no,yes
42,entrepreneur,divorced,tertiary,2,yes,no,no
31,management,single,tertiary,6248,yes,no,no
41,services,married,tertiary,412,yes,no,no
56,retired,married,secondary,344,yes,no,no
54,management,divorced,tertiary,3222,no,no,no
